#KEY,FIRST_PAGE,LAST_PAGE
journals/access/YeYL17,16006,16020
conf/ideal/JungKC16,624,634
journals/tcs/KratochvilTT16,104,117
journals/tsg/GiustiSCRG14,92,101
conf/atmn/CzachorskiP96,425,444
conf/isie/ZhongWYWCH16,708,713
conf/eurocon/MankowitzP11,1,6
journals/tgrs/MengK14,6615,6626
journals/jors/BurkeGHKOOQ13,1695,1724
conf/amcis/BrockeSLS08,325,325
conf/rcdl/KraevaZ18,143,151
conf/vtc/PartenM01a,2225,2228
conf/pdpcs/CaoSY95,330,334
conf/compsac/YamauchiNOYY18,815,816
conf/pcm/AshourianH04,747,754
conf/ipsn/ElBatt04,387,293
journals/iwc/Phillips95,49,71
journals/tc/Montangero74,375,389
journals/giq/Schwartz13,531,532
conf/euc/KimH04a,429,438
journals/envsoft/NaivinitPTG10,1345,1358
journals/entcs/Baeten01,207,208
conf/i3e/LehtoO09,316,327
books/daglib/0018778,1,537
journals/ijprai/MoghaddamzadehGB98,801,816
conf/cocoon/LiTV02,411,419
conf/ieaaie/HsuLL09,400,409
series/star/Antonelli18,1,348
conf/iccabs/RaphaelSRB11,275,275
conf/embc/TeramotoIO16,5550,5553
conf/oopsla/Tolvanen16,49,52
journals/cphysics/LapelosaA13,2310,2315
conf/icdar/MonnierHSA05,394,398
journals/mr/FerrignoMPLHG08,1592,1596
journals/nca/MenezesM11,753,757
conf/igarss/WuYW16,434,436
journals/bsl/Haskell12,368,381
conf/ecrts/MaraninchiR00,257,264
books/sp/LongleyN15,3,546
conf/isnn/Zhang09c,501,506
conf/icpp/Guarna88,212,220
conf/usenix/HowellEPD14,145,156
conf/cms/KotenkoS06,216,227
journals/iam/Hong02,261,270
journals/appml/Zlatanovic12,890,897
conf/acii/MengWWSW05,614,621
journals/envsoft/MachwitzGBFSLWMHU14,437,453
books/daglib/0021594,1,624
conf/sigir/Pirkola98,55,63
conf/iccad/SinhaSZ05,1038,1042
journals/tip/PandaMR17,4712,4724
conf/iccad/ChiuSMB06,135,142
conf/wcnc/LiuJNKS12,1731,1736
conf/icip/TanI99,915,919
journals/csda/ChenHT10,2990,2998
conf/iscas/LuC99,616,618
conf/case/ScheitererNOSG08,554,559
conf/trustcom/StebilaS15,279,286
journals/tsp/Bershad90,623,630
journals/ce/SlofNJ16,49,60
journals/rfc/rfc7261,1,8
journals/monet/RoseS96,1,2
conf/wsc/Fonseca05,60,60
journals/jgt/FurediMW00,180,190
journals/simulation/GoforthB94,128,136
conf/nordichi/DalsgardH06,331,340
journals/tip/ZhangH17,1565,1578
journals/cj/Thomas05,323,324
journals/ijmssc/Oren14,1430001,1430001
journals/concurrency/ArmstrongKMPASED06,215,229
journals/jcisd/LounkineB09,162,168
conf/cdc/KarelahtiV07,1306,1313
conf/atal/HalpernR10,1465,1466
conf/icpads/ZhangZ09,860,863
conf/beliv/Stasko14,46,53
journals/tc/WilsonL61,662,670
journals/bjet/Janes07,175,176
journals/tsmc/ChiamTGM08,808,825
conf/bigdata/KandoganRKOSS13,427,428
journals/iet-ipr/ZhuJZF14,509,518
phd/dnb/Schwartz94,1,312
conf/metainformatics/Sikici05,157,168
conf/hicss/Muller16,5288,5297
journals/iacr/DrijversN19,261,261
journals/tjs/BaZLW12,227,245
journals/itor/MenendezPSD17,635,662
conf/isocc/BaeYJ12,49,52
conf/ccece/TalukderR12,1,4
conf/sbes/CesarioM16,143,152
conf/micad/SuTLZT15,941432,941432
journals/nn/AlkimGK12,88,96
conf/isit/DuyckMYTB12,2821,2825
conf/webmedia/VieiraSCAAV17,325,332
conf/3dic/LewisL09,1,4
journals/ijcns/Wang09,142,154
conf/lssc/RibaginSP17,408,415
journals/cj/Lalmas99,547,568
conf/isami/IshizawaN16,11,19
journals/jam/Govinder13,1,6
conf/arcs/Hertweck90,183,190
conf/mmm/PengCCHCHH08,186,197
conf/cpaior/ReginRRH10,287,291
conf/cmsb/Trejo-BanosMS15,28,39
conf/mhci/PakanenLCH16,1156,1159
conf/iconip/OhamaFU04,585,591
journals/cj/ChungC00,315,324
conf/iotdcc/RandlesJH17,2,10
journals/sensors/LinCLL12,16867,16878
journals/tcom/BenarrochM94,1264,1269
conf/sac/EstevesRFO09,2106,2107
journals/access/ChenQ18,26292,26306
conf/socc/Carothers10,403,403
conf/dac/FriedmanS87,358,356
conf/iticse/Sanchez-TorrubiaTT11,351,351
conf/fc/ChenELMS07,30,45
conf/mobility/ChiLL08,109,109
conf/icdm/JoshiKA01,257,264
journals/jet/AtakanE15,553,605
journals/tc/LiuJ87,761,764
conf/alp/Marchiori96a,209,223
journals/ipl/IlieMP06,242,246
conf/sies/SundmarkPL11,166,175
conf/fuzzIEEE/MataPCH15,1,6
journals/games/AltGSNA18,57,57
conf/sswmc/DangC00,274,285
journals/amc/YenB99,259,276
journals/neuroimage/ZhangCBTKSGW10,1472,1484
journals/jisys/TempletonB17,149,164
journals/sigpro/GrivelGN02,1963,1978
conf/interspeech/Ouni11,881,844
conf/mipro/ValchevYB17,136,140
conf/icassp/TateeshAK97,2485,2488
conf/cse/YangL14a,1509,1513
journals/ijmms/KramerLSG18,112,121
conf/icnc/JiaL08,77,81
journals/cviu/AloimonosR91,120,124
journals/scp/KordonM18,1,2
conf/hicss/SivunenNK16,511,520
conf/ccece/LuWHZ11,156,159
conf/iscas/KangJ018,1,4
journals/ker/Menzies99,1,46
conf/isscc/Charbon17,522,522
conf/nips/PlateBBG96,967,973
conf/pods/Jordan15,1,1
journals/jrm/NakanoHT06,744,750
conf/ipps/SharmaV10,1,8
conf/bpm/FahlandA12,229,245
conf/lrec/BrancoCPSSCG12,1516,1521
conf/profes/LlanosC12,131,144
conf/cisse/KosztyanCHK08,79,84
journals/ieeemm/MarinelliPL00,78,81
conf/ecumn/Satoh07,32,44
journals/pr/SantosAT02,1009,1018
conf/smc/El-Diraby05,3479,3485
journals/tcom/LinES06a,1323,1334
journals/endm/BenciG05,241,242
journals/ejasp/HamilaLLR05,698,708
conf/iros/YooKK17,6902,6907
conf/icecsys/BeckerHOM03,798,801
journals/jfr/SuDNP01,633,643
conf/tsp/BaltaGS15,1,6
journals/ras/TamakiN91,255,273
journals/bmcbi/MahonyMSG04,23,23
journals/jat/SagherS01,236,260
conf/mmsp/PotamianosN07,22,25
conf/dsn/ChenAPNDL14,598,609
journals/siamdm/EsperetO16,206,219
conf/ecis/WidjajaB09,2420,2431
conf/isgteurope/CiupuligaGPJJK10,1,8
journals/na/Strom93,323,337
journals/jpdc/JenqS94,69,77
conf/icassp/JourdasM08,1649,1652
journals/jsyml/Matet11,405,417
conf/iui/GlowackaMSPPM19,141,142
conf/icc/SuBWW06,3008,3013
journals/tcns/KikuyaDI18,1551,1562
conf/vts/GuglielmoFMP06,172,179
conf/globecom/LiangbinZYZ08,4361,4265
conf/atal/HeKS02,194,208
journals/jcphy/WangCN15,43,55
journals/rfc/rfc5186,1,6
conf/data/BecksteinBBBBDDGHKLMMWZ14,251,257
conf/robio/SunMLW07,1635,1640
journals/tit/ClarksonPM96,959,971
conf/seke/FilhoSPLA08,887,892
conf/icc/FathiJA06,3058,3063
phd/dnb/Efenberger96,2,98
journals/jmlr/ZhangLWM12,1425,1434
journals/tsmc/CorreiaABM09,770,781
journals/ail/Shimony01,215,217
conf/wsc/ChenO15,2716,2727
conf/interspeech/Gautier-TurbinG08,2062,2065
conf/cade/Stickel88a,752,753
journals/vc/ZhangZH13,717,727
conf/iros/KingsleyQR06,1837,1842
journals/comcom/DibalOAA18,1,12
journals/tvt/LianJHH19,1129,1140
conf/bigdataconf/KawanoMYYN17,4093,4098
conf/milcom/WilsonSH17,214,218
conf/sas/DrapeV09,273,292
journals/jss/DavisZ05,157,169
phd/de/Franke2009,1,597
conf/wsc/DiGiulioO78,931,942
conf/ieeehpcs/BahlerCPRC17,761,768
journals/i-jes/SiameK17,28,39
conf/waoa/ElbassioniMN16,78,91
conf/isbi/LiPS04,564,567
journals/neco/ValeraRO0P16,354,381
journals/jmis/Nissen01,25,44
conf/sab/DuarteOC12,249,258
conf/medinfo/GrayS07,1428,1431
journals/tit/FanH03,1554,1558
conf/lics/RybinaV00,279,290
conf/hai/NakaneYB14,377,381
conf/grc/Han09,204,209
conf/sac/DiasV18,2175,2184
journals/sigkdd/MullenMC05,52,58
conf/milcom/ClevelandLH12,2,9
conf/iros/HuangC17,3296,3303
journals/sensors/ChenKSYC13,13217,13227
journals/eswa/ChoudhuryG11,3758,3765
journals/jcc/HunterM12,2161,2172
journals/jis/BibbyE86,23,30
conf/cse/PospiechF13,878,885
journals/jet/Kesten09,2209,2226
journals/ijcm/ParthasarathySL02,391,401
journals/tmi/ReichlGN13,1526,1535
conf/ism/OhshimaMLC12,175,178
journals/robotica/Craig89o,173,173
conf/cmg/WandzilakM91,1060,1065
conf/cikm/ShenYZPZ18,813,822
journals/ijipt/SotiriouKM07,252,263
conf/sac/FernandesTMR01,361,365
conf/or/FertisA10,99,104
journals/bmcmi/MotomuraSNHN13,42,42
conf/emv/Birkl06,537,546
conf/ems/CocoCFIML14,409,414
journals/ejwcn/MaccariC13,225,225
conf/acivs/FlorindoB11,284,292
journals/ijebr/Yang12,33,48
conf/pacis/Mittendorf17c,255,255
conf/icra/TongL94,1060,1065
conf/ecai/AlruilyAZ10,1139,1140
conf/fie/DonaldK18,1,9
conf/ieeevast/BilgicLGS06,43,50
conf/icc/MorenoSDGJ15,698,703
conf/iconip/Natsume13,26,33
conf/icse/GarciaBLSZ07,144,145
journals/ijcm/El-Mikkawy03,759,765
journals/twc/GaaloulRA13,2091,2103
conf/compcon/Carter84,111,115
conf/colt/Wibisono18,2093,3027
journals/corr/abs-1212-3879,99,113
conf/ijcnlp/MurakamiTLI11,67,74
conf/pdcat/PlauthFTP14,69,75
conf/aaai/BiedenkappLEHFH17,774,780
conf/nips/AlistarhIV15,1900,1908
journals/ram/ChamberlainG02,36,44
journals/sigaccess/Porter14,42,45
conf/nlprs/KwakHCPLR01,359,366
journals/js/DimaAK16,1,28
journals/jgaa/ArikushiT14,401,420
conf/cases/Chen06,1,1
conf/itp/MoscatoPMF18,478,495
conf/dihu/KisjesT18,413,414
conf/isads/OwadaIO11,539,544
journals/jal/Guttmann-BeckH97,266,286
conf/icdsp/LiuLCZ15,600,603
conf/iir/DanieleCB12,2,13
journals/eor/BanerjeeP08,1208,1216
journals/cga/WahleOF96,65,73
conf/cav/McMillan97,24,35
journals/mam/DowlingLTM92,507,516
conf/icra/HollingerKS07,3870,3876
journals/tcad/WordelmanKS98,1230,1235
conf/ieaaie/Puente-PeinadorVRPR13,171,180
conf/bi/LewisK94,265,276
conf/sbmf/AndradeM09,37,53
conf/icann/OhamaFU05,438,444
conf/iccS/Ramirez-VelardeMB13,2327,2336
conf/ideal/PulkkinenLHLKH03,522,529
conf/acl/Williams08,2,5
conf/icws/FitzgibbonsFFKS04,532,539
journals/tc/SchuikiSGB19,485,498
conf/crypto/GalilHY87,135,155
journals/entcs/PaoliniPR16,228,243
journals/itp/PrakashD07,263,282
conf/iscslp/Minematsu10,477,482
conf/miccai/WelsZCHHC09,576,584
journals/ejwcn/WangKHC14,190,190
conf/eucnc/ParadaFMCL18,277,9
conf/iis/Wolinski06,511,520
conf/igarss/RadkevichTK08,958,961
journals/biomedsem/ZhaoZLC18,1,27
conf/icassp/ChenM13,7150,7154
conf/mswim/PanT07,96,99
conf/paccs/WangXLPW09,197,201
journals/isci/LiuW07a,3901,3917
conf/nldb/Hausser02,109,122
journals/hf/ResnickS04,104,117
journals/ras/SoteloOBFMG07,132,145
conf/dac/Hightower76,318,326
conf/ijcai/Wilder18,5793,5794
conf/biocomp/Youn07,714,720
conf/biostec/AguilarCRPCGM08,173,178
conf/pakdd/Toro-NegroGDM07,111,120
conf/swws/BurleyK08,263,168
conf/spaccs/ZhangJ16,26,32
conf/icwl/HockemeyerNLABSA09,182,191
journals/tim/Yuce08a,1079,1084
conf/isola/NamDF16,927,942
journals/tcyb/WangCLL17,1796,1804
conf/hybrid/WermterS98,1,13
conf/icisc/BabbageF00,22,36
conf/smc/DjurdjevicH13,2485,2491
conf/new2an/ProbstDG15,198,210
journals/ress/HansenBBBCHHLLMMMSSV14,272,296
conf/icon/HoangYR03,63,68
conf/ausai/YoungN13,228,233
conf/cvpr/RanjanB17,2720,2729
conf/sigcomm/ChandrasekaranB14,235,236
conf/sas/Midtgaard0M12,352,369
conf/eccv/BrachmannKMGSR14,536,551
conf/siguccs/Ozubko85,223,229
conf/im/ShibataNHA15,619,625
journals/twc/NardelliKCL12,2760,2766
journals/urban/YangMM19,13,22
journals/swevo/HarrisonEO18,20,35
conf/ijcai/WangGLH016,2929,2925
conf/sbcci/PonchetBFPTFS16,1,6
conf/eurogp/Divina05,13,24
conf/camsap/Linderman017,1,5
journals/csda/WangZZG14,252,266
conf/aaai/InoueOY16,4330,4332
conf/wiopt/SlimaneJMB14,120,125
journals/tkde/ScarpaPVZ04,1339,1356
conf/gil/PfeiffenbergerKF12,220,223
conf/iwann/DerderianMHN09,327,334
journals/adt/LocherH16,323,336
journals/ibmrd/Chow74,194,203
conf/sac/HuangC01,351,355
journals/ras/AliRFF16,119,128
journals/arobots/MarinSP03,283,297
conf/stacs/MaryS16,1,13
journals/orgsci/ClarkKS18,100,117
journals/is/GarganoNT91,565,583
journals/isf/MastertonW00,299,315
journals/ijia/Rashidi07,185,192
conf/wiri/HamamotoKPF05,122,127
conf/cscn/YanagidaNYYO16,42,47
journals/ejcon/PerdicoulisJ05,632,0
conf/icail/Schobbens93,272,281
conf/mobicom/AndradeBGHMPTV17,65,72
journals/iasc/YanLLZLS16,345,352
conf/ccece/VemuriCF17,1,4
conf/skg/ZhaoLZ09,200,207
conf/miccai/EskildsenO06,823,830
journals/technometrics/Guinness18,415,429
conf/ACMicec/WeiZ05,525,428
journals/siamjo/HelmbergRVW96,342,361
conf/ipps/Riteau11,2097,2100
conf/ipcai/ZhengEXN11,101,112
conf/paap/SunT14,148,151
conf/icassp/BeygiMP15,3222,3226
journals/ejasp/LiuSLS05,1956,1968
conf/cav/TrinhCJ17,399,418
journals/ijon/GriecoLGF10,1057,1064
conf/eit/LeeLTK14,410,415
journals/argcom/Moens18,1,14
conf/geneme/GohringM06,51,62
conf/globecom/HakkarainenWDV14,320,326
conf/3dui/IslamIGI16,71,80
journals/gandc/AbediNB12,272,283
journals/neuroimage/McKinleyBWN12,129,137
conf/wirtschaftsinformatik/DittesUASM15,615,629
journals/jzusc/ZhuZ11,44,53
journals/sigbed/DavisN12,37,40
journals/jcb/MoradRSAAAEBSBA18,171,182
conf/data/CorbinMM14,107,115
conf/dcai/OrtizDBSQ11,167,174
conf/pervasive/HolleisS08,57,75
journals/bioinformatics/Brittain89,137,140
conf/vtc/ChenWT08,1,5
journals/rfc/rfc3093,1,11
conf/ivs/LuWX18,1204,1208
journals/iasc/0001LC14,145,158
conf/mmsp/KokuboHLKS06,378,381
journals/rfc/rfc3083,1,45
conf/gmp/XiangH08,534,540
journals/twc/JakllariLK07,1114,1024
journals/neuroimage/PetriniPDMMRWLAP11,1630,1630
conf/pakdd/HassanK12,566,577
conf/robio/LiuBB13,848,853
conf/mm/TankoyeuSPG12,1341,1342
journals/jcam/ParandDP13,244,252
conf/gi/Philipps89,51,64
conf/sysose/HorvathR08,1,6
conf/iceis/MasadaSO11,5,13
journals/siamam/DelfourGL05,859,882
journals/puc/DaiBYSX10,633,643
conf/iccbr/SharmaSDCKM16,370,386
journals/gis/GordonS92,267,278
conf/isi/ChiuWK08,262,263
conf/colcom/JungKJ12,80,88
journals/fac/Hesselink94,554,570
journals/tip/HedbergDO09,562,572
conf/cikm/NikolentzosV18,1583,1586
journals/tcs/CreignouD03,417,430
journals/remotesensing/ShaoSHHZ16,264,264
journals/ijar/AmgoudV14,585,606
journals/tsmc/ShenWSSH19,433,443
journals/ijon/XuZF12,125,131
journals/cais/AsamoahA18,22,22
conf/dcc/CohenTV16,141,150
journals/jdi/HuangTB92,20,25
conf/igarss/ZhouWHT05,2969,2971
journals/ijcvr/BougamouzaHB18,591,605
conf/fjcc/KimM87,636,643
conf/fuzzIEEE/HuW09,530,535
journals/jors/CisternasDDPW13,735,747
conf/uist/WilsonBIH12,413,422
journals/twc/WeiFL08,1699,1707
conf/ssci/NathRMS18,586,562
conf/ifip7/Biegler07,22,36
conf/icassp/BurgesPPRM05,9,12
conf/csie/WangKL09,213,217
journals/access/YangJGG18,45166,45176
journals/software/Spinellis17c,4,7
conf/ivic/ZainJABJY17,636,646
journals/games/BergK18,47,47
conf/segah/PinhoPZ11,1,4
conf/iecon/KhanLJSD18,4057,4062
conf/sitis/JabraZ09,192,199
conf/jcdcg/LuzonRT15,216,227
conf/amcc/WolekW12,4873,4878
journals/jasis/BingleyB77,129,129
conf/gecco/ZhuK15,1120,1127
journals/tsg/ZidanE12,1525,1539
conf/ifl/VandenbrouckeSP15,1,12
journals/ce/SealeC10,1108,1117
journals/jstsp/LiSM11,725,738
conf/pakdd/Xu10,403,414
conf/icdcsw/ChenZLMW09,239,244
journals/cssp/VennilaLK12,1049,1066
conf/wcnc/JungAK14,2934,2939
conf/icsea/GibsonLR08,58,64
journals/isj/IversenM03,3,20
journals/ndjfl/Ressler12,89,112
conf/cscwd/TommasoSV17,275,280
journals/vc/AmiroladAA16,1633,1644
conf/isscc/DufreneBW07,86,589
conf/csl/Nivelle02,585,599
conf/focs/AndoniCP08,424,433
conf/cvpr/MeshgiOI18,4814,4823
conf/chi/JanssenBH12,2525,2530
books/sp/Yu14,1,818
journals/scjapan/KanedaF86,1,11
journals/software/Rost06,104,104
conf/lpar/ReynoldsK91,416,433
journals/tnn/Farrell98a,1008,1020
journals/pr/PeiLS98,1127,1138
journals/dcc/CesmeliogluM13,231,242
conf/siu/ErtasAYK14,2122,2125
journals/aepia/SaltoAML08,73,85
journals/glottometrics/LeonL16,56,78
journals/tcs/PanZ17,101,116
journals/ett/BaltzisS10,187,194
conf/iticse/Gal-EzerVZ03,256,256
journals/tcad/CarmonaCKT09,1437,1455
conf/wsdm/PelechrinisP18,787,788
journals/jgo/Sergeyev99,157,167
phd/dnb/Majchrzak11,1,601
journals/ijwltt/ZaranisE18,37,49
journals/tamm/Jones10,553,557
journals/imcs/SilicBS15,570,583
conf/mhci/ResatschKSH07,313,316
journals/jcloudc/FeilhauerS16,21,21
journals/fi/AbbasiK18,14,14
conf/jcdl/Barkstrom01,206,207
conf/nas/LinLC07,109,114
conf/iros/PulsH10,640,645
conf/ic3k/Osuna-OntiverosLS11,289,294
conf/socpros/AhmedP11,865,876
conf/icon/KangN04,640,646
conf/iwann/MorenoGGP09,582,585
conf/cdc/GasparNB12,5022,5027
conf/dgci/RoussillonL11,308,319
books/cu/mckeag80/IchbiahBHKRW80,154,193
conf/ccs/IslamKK11,845,448
conf/ppsc/BertocchiCZ91,199,204
journals/dud/Heckmann09,656,659
journals/jitech/Kaye90,74,84
conf/fpl/DuB15,1,6
journals/tasm/Holmes18,14,15
journals/bioinformatics/LordSA02,1402,1403
conf/fsttcs/CrowstonFGJRTY11,229,240
conf/icce/Joyce02,433,424
journals/scjapan/SasakiIOHMK05,1,13
conf/icalp/AtzeniM84,69,81
conf/siggraph/Ng97,270,270
journals/tcad/LinL96,194,207
conf/acm/Stilman94,380,389
conf/icnc/ZhongCH08,217,221
journals/ipm/HervasFG13,817,832
conf/maveba/DafnaTZ11,17,20
conf/ismir/HajicDWP18,225,232
conf/softvis/BlumenkrantsSS06,17,26
journals/tcs/ChuanH10,2827,2846
journals/access/GaoBLPXX19,26941,26952
journals/amc/Micula15a,935,942
journals/sigart/Price80,28,29
journals/ipm/MoltoS91,83,95
conf/embc/BiswalAHJ11,4776,4779
journals/jirs/ChudobaKSBP16,351,369
journals/ijitm/Drury05,113,137
conf/fecs/PerkovicS07,22,27
conf/iros/RodemannHJGS06,860,865
conf/isict/PearsE03,261,266
journals/cee/LuoSZWLX18,404,414
conf/eiswt/Wu07b,47,52
journals/expert/X00a,4,9
journals/ijnsec/ZhuZLL16,209,216
journals/envsoft/SavabiS01,631,640
conf/oopsla/Fleissner15,43,44
books/daglib/p/Bockle05a,375,392
conf/wts/HarounKBESKN14,1,6
journals/bmcbi/BremgesSG10,222,222
conf/pkdd/SebbanZP99,184,192
conf/icip/XuJS15,2930,2834
journals/jot/Pishev02,171,180
conf/eacl/EisnerDCP17,175,181
journals/joi/Martin-MartinOT18,1160,1177
journals/cn/YaacoubA14,171,183
conf/icdar/LecoqNGT01,138,1204
conf/cscwd/ZhaoZY06,1302,1307
journals/amc/Zotos07a,1430,1436
journals/cssp/MaoZD12,1863,1875
journals/cas/Fogel99,205,211
journals/ijbpscm/TopcuBC13,86,114
conf/asru/SahraeianC13,256,260
journals/mansci/SomanS03,1229,1250
conf/eumas/GrauS13,139,153
conf/fpt/0002BSSCV17,203,206
conf/hci/Long97,197,200
journals/tmi/DestrempesFYC16,488,500
conf/cicling/RazmaraK07,518,529
conf/interspeech/LarsenJLR07,674,677
conf/amcc/BoeschC15,2588,2592
conf/fpl/BogelNW94,315,317
conf/micai/Accary-BarbierC05,51,60
conf/siggraph/SuPZLWHL16a,1,2
journals/mmor/FaigleKS96,239,254
conf/icmi/TseGS06,76,83
conf/clawar/WangWFZ05,173,180
journals/tc/ChungCL92,1172,1180
journals/isci/TsourveloudisDI00,69,83
conf/vtc/YanGNPNI17,1,2
journals/eswa/PinheiroCCR12,12851,12857
conf/mswim/JobinFT01,65,72
conf/emnlp/SchwartzRBTMU17,2348,2357
conf/noms/CheikhrouhouL00,477,490
conf/icmlc/ZhengCZ05,278,284
conf/seke/Abu-NimehMM09,542,547
journals/concurrency/XiangAK16,2856,2857
conf/dagstuhl/KrugerZC06,127,144
journals/eccc/GuruswamiL15,105,105
journals/jcst/ZhangLL14,1072,1082
conf/robio/FuYSZ17,442,448
journals/taslp/SakSG12,2341,2351
conf/amcis/WeiCS06,491,491
conf/icmcs/ZhaoZTWH13,1,6
